"id","county","county_code","subcounty","subcounty_code","ward","ward_code","dice_name","dice_code","dice_simple_name","dice_phone"
"1","Admin","Admin","Admin","ADMIN","Admin","ADMIN","All","Admin","admin",
"2","THARAKA-NITHI ","13","IGAMBANG'OMBE ","61","IGAMBANG'OMBE ","305","HWWK CHUKA DICE","1","chuka","254799870906"
"3","THARAKA-NITHI ","13","CHUKA","61","KARINGANI ","302","HWWK CHUKA DICE","1","chuka","254799870906"
"4","THARAKA-NITHI ","13","CHUKA","61","MAGUMONI ","303","HWWK CHUKA DICE","1","chuka","254799870906"
"5","THARAKA-NITHI ","13","CHUKA","61","MARIANI ","301","HWWK CHUKA DICE","1","chuka","254799870906"
"6","THARAKA-NITHI ","13","CHUKA","61","MUGWE ","304","HWWK CHUKA DICE","1","chuka","254799870906"
"7","THARAKA-NITHI ","13","MWIMBI","60","CHOGORIA ","300","HWWK CHUKA DICE","1","chuka","254799870906"
"8","THARAKA-NITHI ","13","MWIMBI","60","GANGA ","299","HWWK CHUKA DICE","1","chuka","254799870906"
"9","THARAKA-NITHI ","13","MUTHAMBI","60","MITHERU ","296","HWWK CHUKA DICE","1","chuka","254799870906"
"10","THARAKA-NITHI ","13","MUTHAMBI","60","MUTHAMBI ","297","HWWK CHUKA DICE","1","chuka","254799870906"
"11","THARAKA-NITHI ","13","MWIMBI","60","MWIMBI ","298","HWWK CHUKA DICE","1","chuka","254799870906"
"12","THARAKA-NITHI ","13","THARAKA-SOUTH","62","CHIAKARIGA ","309","HWWK CHUKA DICE","1","chuka","254799870906"
"13","THARAKA-NITHI ","13","THARAKA-NORTH","62","GATUNGA ","306","HWWK CHUKA DICE","1","chuka","254799870906"
"14","THARAKA-NITHI ","13","THARAKA-SOUTH","62","MARIMANTI ","310","HWWK CHUKA DICE","1","chuka","254799870906"
"15","THARAKA-NITHI ","13","THARAKA-NORTH","62","MUKOTHIMA ","307","HWWK CHUKA DICE","1","chuka","254799870906"
"16","THARAKA-NITHI ","13","THARAKA-NORTH","62","NKONDI ","308","HWWK CHUKA DICE","1","chuka","254799870906"
"17","EMBU ","14","MANYATTA ","63","GATURI SOUTH ","316","HWWK EMBU DICE","2","embu","254799870904"
"18","EMBU ","14","MANYATTA ","63","KIRIMARI ","315","HWWK EMBU DICE","2","embu","254799870904"
"19","EMBU ","14","MANYATTA ","63","KITHIMU ","312","HWWK EMBU DICE","2","embu","254799870904"
"20","EMBU ","14","MANYATTA ","63","MBETI NORTH ","314","HWWK EMBU DICE","2","embu","254799870904"
"21","EMBU ","14","MANYATTA ","63","NGINDA ","313","HWWK EMBU DICE","2","embu","254799870904"
"22","EMBU ","14","MANYATTA ","63","RUGURU/NGANDORI ","311","HWWK EMBU DICE","2","embu","254799870904"
"23","EMBU ","14","MBEERE NORTH ","66","EVURORE ","330","HWWK EMBU DICE","2","embu","254799870904"
"24","EMBU ","14","MBEERE NORTH ","66","MUMINJI ","329","HWWK EMBU DICE","2","embu","254799870904"
"25","EMBU ","14","MBEERE NORTH ","66","NTHAWA ","328","HWWK EMBU DICE","2","embu","254799870904"
"26","EMBU ","14","MBEERE SOUTH ","65","KIAMBERE ","327","HWWK EMBU DICE","2","embu","254799870904"
"27","EMBU ","14","MBEERE SOUTH ","65","MAKIMA ","324","HWWK EMBU DICE","2","embu","254799870904"
"28","EMBU ","14","MBEERE SOUTH ","65","MAVURIA ","326","HWWK EMBU DICE","2","embu","254799870904"
"29","EMBU ","14","MBEERE SOUTH ","65","MBETI SOUTH ","325","HWWK EMBU DICE","2","embu","254799870904"
"30","EMBU ","14","MBEERE SOUTH ","65","MWEA ","323","HWWK EMBU DICE","2","embu","254799870904"
"31","EMBU ","14","RUNYENJES ","64","CENTRAL  WARD ","319","HWWK EMBU DICE","2","embu","254799870904"
"32","EMBU ","14","MANYATTA ","63","GATURI NORTH ","317","HWWK EMBU DICE","2","embu","254799870904"
"33","EMBU ","14","RUNYENJES ","64","KAGAARI NORTH ","320","HWWK EMBU DICE","2","embu","254799870904"
"34","EMBU ","14","RUNYENJES ","64","KAGAARI SOUTH ","318","HWWK EMBU DICE","2","embu","254799870904"
"35","EMBU ","14","RUNYENJES ","64","KYENI NORTH ","321","HWWK EMBU DICE","2","embu","254799870904"
"36","EMBU ","14","RUNYENJES ","64","KYENI SOUTH ","322","HWWK EMBU DICE","2","embu","254799870904"
"37","NAKURU ","32","GILGIL ","169","ELEMENTAITA ","845","HWWK GILGIL WELLNESS CENTER","3","gilgil","254757465088"
"38","NAKURU ","32","GILGIL ","169","GILGIL ","844","HWWK GILGIL WELLNESS CENTER","3","gilgil","254757465088"
"39","NAKURU ","32","GILGIL ","169","MALEWA WEST ","847","HWWK GILGIL WELLNESS CENTER","3","gilgil","254757465088"
"40","NAKURU ","32","GILGIL ","169","MBARUK/EBURU ","846","HWWK GILGIL WELLNESS CENTER","3","gilgil","254757465088"
"41","NAKURU ","32","GILGIL ","169","MURINDATI ","848","HWWK GILGIL WELLNESS CENTER","3","gilgil","254757465088"
"42","MAKUENI ","17","KAITI ","85","ILIMA ","423","HWWK MAKINDU DICE","4","makindu",
"43","MAKUENI ","17","KAITI ","85","KEE ","421","HWWK MAKINDU DICE","4","makindu",
"44","MAKUENI ","17","KAITI ","85","KILUNGU ","422","HWWK MAKINDU DICE","4","makindu",
"45","MAKUENI ","17","KAITI ","85","UKIA ","420","HWWK MAKINDU DICE","4","makindu",
"46","MAKUENI ","17","KIBWEZI EAST ","88","IVINGONI/NZAMBANI ","440","HWWK MAKINDU DICE","4","makindu",
"47","MAKUENI ","17","KIBWEZI EAST ","88","MASONGALENI ","437","HWWK MAKINDU DICE","4","makindu",
"48","MAKUENI ","17","KIBWEZI EAST ","88","MTITO ANDEI ","438","HWWK MAKINDU DICE","4","makindu",
"49","MAKUENI ","17","KIBWEZI EAST ","88","THANGE ","439","HWWK MAKINDU DICE","4","makindu",
"50","MAKUENI ","17","KIBWEZI WEST ","87","EMALI/MULALA ","436","HWWK MAKINDU DICE","4","makindu",
"51","MAKUENI ","17","KIBWEZI WEST ","87","KIKUMBULYU NORTH ","433","HWWK MAKINDU DICE","4","makindu",
"52","MAKUENI ","17","KIBWEZI WEST ","87","KIKUMBULYU SOUTH ","434","HWWK MAKINDU DICE","4","makindu",
"53","MAKUENI ","17","KIBWEZI WEST ","87","MAKINDU ","431","HWWK MAKINDU DICE","4","makindu",
"54","MAKUENI ","17","KIBWEZI WEST ","87","NGUU/MASUMBA ","435","HWWK MAKINDU DICE","4","makindu",
"55","MAKUENI ","17","KIBWEZI WEST ","87","NGUUMO ","432","HWWK MAKINDU DICE","4","makindu",
"56","MAKUENI ","17","KILOME ","84","KASIKEU ","417","HWWK MAKINDU DICE","4","makindu",
"57","MAKUENI ","17","KILOME ","84","KIIMA KIU/KALANZONI ","419","HWWK MAKINDU DICE","4","makindu",
"58","MAKUENI ","17","KILOME ","84","MUKAA ","418","HWWK MAKINDU DICE","4","makindu",
